plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
64012,"Energix Nokesville, LLC",VA,20.0,598.7,Ohio,20000000.0,Rail,0.0023948,47896.0,263.428,22391.38,500-1000km
64015,"Energix Buckingham, LLC",VA,20.0,633.1,Ohio,20000000.0,Rail,0.0025324,50648.00000000001,278.56399999999996,23677.94,500-1000km
64021,Alden Solar CSG LLC,CO,1.6,1643.2,Louisiana,1600000.0,Rail,0.0065728,10516.48,57.84064000000001,4916.4544000000005,1500-2000km
64024,"Monte Vista Solar 2 CSG, LLC",CO,1.6,1567.0,Louisiana,1600000.0,Rail,0.006268,10028.800000000001,55.1584,4688.464,1500-2000km
64072,Camp Ripley Solar,MN,10.9,995.1,Ohio,10900000.0,Rail,0.0039804,43386.36,238.62498,20283.1233,500-1000km
64079,CatanSolar,TX,10.0,583.9,Louisiana,10000000.0,Rail,0.0023355999999999997,23355.999999999996,128.458,10918.93,500-1000km
64103,Desert Harvest II LLC,CA,70.0,2262.0,Louisiana,70000000.0,Rail,0.009047999999999999,633359.9999999999,3483.48,296095.8,2000-3000km
64150,Lancaster Solar GA,GA,80.0,391.5,Alabama,80000000.0,Truck,0.003132,250559.99999999997,2129.76,181029.6,0-500km
64151,SR Perry,GA,68.0,408.6,Alabama,68000000.0,Truck,0.0032688,222278.4,1889.3664000000003,160596.14400000003,0-500km
64152,SR Rattlesnake,CO,6.0,1606.8,Louisiana,6000000.0,Rail,0.006427199999999999,38563.2,212.09759999999997,18028.296,1500-2000km
64160,SR North Stonington,CT,12.0,971.5,Ohio,12000000.0,Rail,0.0038859999999999997,46632.0,256.476,21800.46,500-1000km
64191,SR Lumpkin,GA,100.0,372.3,Alabama,100000000.0,Truck,0.0029784,297840.0,2531.6400000000003,215189.40000000002,0-500km
64266,Alamosa Solar South CSG,CO,1.6,1542.0,Louisiana,1600000.0,Rail,0.006168,9868.8,54.278400000000005,4613.664000000001,1500-2000km
64290,"SE Athos II, LLC",CA,200.0,2259.3,Louisiana,200000000.0,Rail,0.0090372,1807440.0,9940.92,844978.2,2000-3000km
64325,Prospero Solar II,TX,250.0,1082.1,Louisiana,250000000.0,Rail,0.0043284,1082100.0,5951.549999999999,505881.74999999994,1000-1500km
64347,Mockingbird Solar Center,TX,471.0,513.3,Louisiana,471000000.0,Rail,0.0020532,967057.2,5318.8146,452099.241,500-1000km
64363,"ESA Boston Solar, LLC",NC,5.0,693.7,Ohio,5000000.0,Rail,0.0027748,13874.0,76.307,6486.095,500-1000km
64366,"Trojan Solar, LLC",NC,5.0,832.9,Ohio,5000000.0,Rail,0.0033315999999999997,16658.0,91.619,7787.615,500-1000km
64367,"Zuma Solar, LLC",NC,3.0,667.0,Ohio,3000000.0,Rail,0.002668,8003.999999999999,44.022,3741.87,500-1000km
64427,Copperton Solar Plant No. 1,UT,5.0,2179.4,Louisiana,5000000.0,Rail,0.0087176,43588.0,239.73399999999998,20377.39,2000-3000km
64469,Wing,AL,80.0,405.3,Alabama,80000000.0,Truck,0.0032424,259392.0,2204.8320000000003,187410.72000000003,0-500km
64476,"Swansboro Solar, LLC",NC,4.9,920.8,Ohio,4900000.0,Rail,0.0036831999999999998,18047.68,99.26223999999999,8437.2904,500-1000km
64477,"Suncaster, LLC",NC,2.4,832.0,Ohio,2400000.0,Rail,0.003328,7987.2,43.92959999999999,3734.0159999999996,500-1000km
64478,"1034 Catherine Lake Solar, LLC",NC,4.9,894.5,Ohio,4900000.0,Rail,0.003578,17532.2,96.4271,8196.3035,500-1000km
64514,Ludie Brown Solar Energy Storage,NC,2.0,869.7,Ohio,2000000.0,Rail,0.0034788,6957.6,38.266799999999996,3252.678,500-1000km
64566,"Central Line Solar, LLC",AZ,100.0,1900.5,Louisiana,100000000.0,Rail,0.007601999999999999,760199.9999999999,4181.099999999999,355393.49999999994,1500-2000km
64631,Jamison Solar (FL),FL,74.5,909.8,Alabama,74500000.0,Rail,0.0036391999999999996,271120.39999999997,1491.1621999999998,126748.78699999998,500-1000km
64637,Big River Solar,IL,149.0,393.5,Ohio,149000000.0,Truck,0.0031479999999999998,469051.99999999994,3986.9420000000005,338890.07000000007,0-500km
64641,Big Bend II Solar,FL,45.8,889.9,Alabama,45800000.0,Rail,0.0035595999999999996,163029.68,896.6632399999999,76216.37539999999,500-1000km
64657,Magnolia Solar,FL,74.5,894.5,Alabama,74500000.0,Rail,0.003578,266561.0,1466.0855,124617.26749999999,500-1000km
64727,Brookwood Drive Community Solar,MA,5.0,1029.8,Ohio,5000000.0,Rail,0.0041192,20596.0,113.27799999999999,9628.63,1000-1500km
64730,IL17021 Brush Creek I CSG,IL,2.0,506.4,Ohio,2000000.0,Rail,0.0020256,4051.2,22.281599999999997,1893.9359999999997,500-1000km
64817,"Energix Leatherwood, LLC",VA,20.0,637.9,Ohio,20000000.0,Rail,0.0025516,51031.99999999999,280.676,23857.46,500-1000km
64838,"SR Clay, LLC",GA,106.0,406.4,Alabama,106000000.0,Truck,0.0032511999999999997,344627.19999999995,2929.3311999999996,248993.15199999997,0-500km
64840,"SR Cedar Springs, LLC",GA,70.0,426.2,Alabama,70000000.0,Truck,0.0034095999999999996,238671.99999999997,2028.7120000000002,172440.52000000002,0-500km
